"order","trial_type","card_type","guess_type","card","guess","sid","age","feedback","judgment","correction","response","critical","dv_type","age_category"
11,"X.X","X","X","CAT","cat","2017-06-02-10-23",1417,"J","Y","0","Yes",0,2,"Children"
12,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-02-10-23",1417,"D","N","0","Yes",1,2,"Children"
13,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-02-10-23",1417,"C","N","E","No",1,2,"Children"
14,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-02-10-23",1417,"D","N","0","No",0,2,"Children"
15,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-02-10-23",1417,"D","Y","0","Yes",1,2,"Children"
16,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-02-10-23",1417,"J","Y","0","Yes",1,2,"Children"
1,"X.Z","X","Z","DOG","elephant","2017-06-02-14-8",1760,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-02-14-8",1760,"J","Y","0","Yes",0,2,"Children"
3,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-02-14-8",1760,"D","0","0","Yes",1,2,"Children"
4,"XY.X","XY","X","CAT-ELE","cat","2017-06-02-14-8",1760,"C","Y","I","Yes",0,2,"Children"
5,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-02-14-8",1760,"D","0","0","Yes",1,2,"Children"
6,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-02-14-8",1760,"C","0","I","Yes",1,2,"Children"
7,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-02-14-8",1760,"C","0","I","Yes",1,2,"Children"
8,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-02-14-8",1760,"C","0","E","Yes",1,2,"Children"
9,"XY.X","XY","X","CAT-DOG","cat","2017-06-02-14-8",1760,"C","Y","I","Yes",0,2,"Children"
10,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-14-8",1760,"J","Y","0","Yes",1,2,"Children"
11,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-02-14-8",1760,"J","Y","0","Yes",1,2,"Children"
12,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-02-14-8",1760,"J","N","0","No",0,2,"Children"
13,"X.Z","X","Z","ELE","dog","2017-06-02-14-8",1760,"J","N","0","No",0,2,"Children"
14,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-14-8",1760,"D","N","0","No",0,2,"Children"
15,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-02-14-8",1760,"C","0","E",NA,1,2,"Children"
16,"X.X","X","X","ELE","elephant","2017-06-02-14-8",1760,"J","Y","0","Yes",0,2,"Children"
1,"X.Z","X","Z","CAT","dog","2017-05-31-13-56",1730,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-05-31-13-56",1730,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","ELE","cat and elephant","2017-05-31-13-56",1730,"J","N","0",NA,1,2,"Children"
4,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-05-31-13-56",1730,"J","Y","0","Yes",1,2,"Children"
5,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-05-31-13-56",1730,"J","Y","0","Yes",1,2,"Children"
6,"X.XorY","X","XorY","CAT","cat or elephant","2017-05-31-13-56",1730,"J","YN","0",NA,1,2,"Children"
7,"X.Z","X","Z","CAT","elephant","2017-05-31-13-56",1730,"J","N","0","No",0,2,"Children"
8,"XY.Z","XY","Z","CAT-DOG","elephant","2017-05-31-13-56",1730,"J","N","0","No",0,2,"Children"
9,"XY.X","XY","X","CAT-ELE","elephant","2017-05-31-13-56",1730,"J","Y","0","No",0,2,"Children"
10,"XY.X","XY","X","DOG-ELE","dog","2017-05-31-13-56",1730,"J","YN","0",NA,0,2,"Children"
11,"X.XandY","X","XandY","ELE","dog and elephant","2017-05-31-13-56",1730,"J","YN","0","No",1,2,"Children"
12,"X.XorY","X","XorY","DOG","dog or elephant","2017-05-31-13-56",1730,"J","YN","0",NA,1,2,"Children"
13,"XY.Z","XY","Z","DOG-ELE","cat","2017-05-31-13-56",1730,"J","N","0","No",0,2,"Children"
14,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-05-31-13-56",1730,"J","Y","0","Yes",1,2,"Children"
15,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-05-31-13-56",1730,"J","Y","0","Yes",1,2,"Children"
16,"X.X","X","X","DOG","dog","2017-05-31-13-56",1730,"J","Y","0","Yes",0,2,"Children"
1,"X.Z","X","Z","DOG","cat","2017-06-02-15-28",1772,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-02-15-28",1772,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-02-15-28",1772,"J","N","0","No",1,2,"Children"
4,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-02-15-28",1772,"J","Y","0","Yes",1,2,"Children"
5,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-02-15-28",1772,"C","0","I","No",0,2,"Children"
6,"XY.X","XY","X","CAT-DOG","cat","2017-06-02-15-28",1772,"C","N","I","No",0,2,"Children"
7,"X.Z","X","Z","ELE","dog","2017-06-02-15-28",1772,"D","N","0","No",0,2,"Children"
8,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-02-15-28",1772,"J","Y","0","Yes",1,2,"Children"
9,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-02-15-28",1772,"C","0","I","Yes",1,2,"Children"
10,"X.XorY","X","XorY","DOG","cat or dog","2017-06-02-15-28",1772,"D","0","0","Yes",1,2,"Children"
11,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-02-15-28",1772,"D","0","0","Yes",1,2,"Children"
12,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-02-15-28",1772,"D","0","0","Yes",1,2,"Children"
13,"X.X","X","X","CAT","cat","2017-06-02-15-28",1772,"J","Y","0","Yes",0,2,"Children"
14,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-15-28",1772,"C","N","I","No",0,2,"Children"
15,"XY.X","XY","X","CAT-ELE","cat","2017-06-02-15-28",1772,"C","N","I",NA,0,2,"Children"
16,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-02-15-28",1772,"C","0","I","Yes",1,2,"Children"
1,"X.X","X","X","DOG","dog","2017-06-05-9-23",1946,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","DOG","cat","2017-06-05-9-23",1946,"D","0","0","No",0,2,"Children"
3,"XY.X","XY","X","CAT-DOG","dog","2017-06-05-9-23",1946,"C","0","I","Yes",0,2,"Children"
4,"X.XorY","X","XorY","DOG","cat or dog","2017-06-05-9-23",1946,"D","0","0","Yes",1,2,"Children"
5,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-05-9-23",1946,"D","0","0","No",0,2,"Children"
6,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-05-9-23",1946,"C","0","E","No",1,2,"Children"
7,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-05-9-23",1946,"C","0","I","Yes",1,2,"Children"
8,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-05-9-23",1946,"C","0","E","No",1,2,"Children"
9,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-05-9-23",1946,"D","N","0","No",0,2,"Children"
10,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-05-9-23",1946,"D","0","0","Yes",1,2,"Children"
11,"XY.X","XY","X","DOG-ELE","dog","2017-06-05-9-23",1946,"C","0","I","No",0,2,"Children"
12,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-05-9-23",1946,"J","Y","0","Yes",1,2,"Children"
13,"X.X","X","X","ELE","elephant","2017-06-05-9-23",1946,"J","Y","0","Yes",0,2,"Children"
14,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-05-9-23",1946,"J","Y","0","Yes",1,2,"Children"
15,"X.Z","X","Z","ELE","cat","2017-06-05-9-23",1946,"D","N","0","No",0,2,"Children"
16,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-05-9-23",1946,"C","N","I","No",1,2,"Children"
1,"X.Z","X","Z","CAT","elephant","2017-06-06-14-13",1987,"D","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-06-06-14-13",1987,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","DOG","cat and dog","2017-06-06-14-13",1987,"C","0","E",NA,1,2,"Children"
4,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-06-14-13",1987,"C","0","I","Yes",1,2,"Children"
5,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-06-14-13",1987,"C","Y","E",NA,1,2,"Children"
6,"XY.X","XY","X","CAT-ELE","elephant","2017-06-06-14-13",1987,"C","YN","I",NA,0,2,"Children"
7,"XY.X","XY","X","CAT-ELE","cat","2017-06-06-14-13",1987,"C","0","I",NA,0,2,"Children"
8,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-06-14-13",1987,"C","Y","E","Yes",1,2,"Children"
9,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-06-14-13",1987,"D","N","0","No",0,2,"Children"
